118638268;Acarus Aca s 13;Non Food;Aero Mite;Acarus siro;Mite;Unassigned
441482362;Actinidia arguta kiwellin;Food;Food Plant;Actinidia arguta;Hardy Kiwi;Unassigned
441482364;Actinidia arguta kiwellin;Food;Food Plant;Actinidia arguta;Hardy Kiwi;Unassigned
441482366;Actinidia arguta kiwellin;Food;Food Plant;Actinidia arguta;Hardy Kiwi;Unassigned
190358935;Actinidia Act c 1 Act d 1 Actinidin;Food;Food Plant;Actinidia chinensis;Kiwi;Unassigned
378548410;Actinidia Act c 10 LTP;Food;Food Plant;Actinidia chinensis;Kiwi;Unassigned
441482354;Actinidia Act c 5 kiwellin;Food;Food Plant;Actinidia chinensis;Kiwi;Unassigned
281552896;Actinidia Act c 8 Act d 8 PR-10;Food;Food Plant;Actinidia chinensis;Kiwi;Unassigned
68064399;Actinidia Act d 2 thaumatin like protein;Food;Food Plant;Actinidia chinensis;Kiwi;Unassigned
15984;Actinidia Act c 1 Act d 1 Actinidin;Food;Food Plant;Actinidia deliciosa;Kiwi;Unassigned
166317;Actinidia Act c 1 Act d 1 Actinidin;Food;Food Plant;Actinidia deliciosa;Kiwi;Unassigned
193806686;Actinidia Act c 1 Act d 1 Actinidin;Food;Food Plant;Actinidia deliciosa;Kiwi;Unassigned
281552898;Actinidia Act c 8 Act d 8 PR-10;Food;Food Plant;Actinidia deliciosa;Kiwi;Unassigned
378548411;Actinidia Act d 10 LTP;Food;Food Plant;Actinidia deliciosa;Kiwi;Unassigned
378405189;Actinidia Act d 10 LTP;Food;Food Plant;Actinidia deliciosa;Kiwi;Unassigned
332319679;Actinidia Act d 11 Kirola MLP;Food;Food Plant;Actinidia deliciosa;Kiwi;Unassigned
71057064;Actinidia Act d 2 thaumatin like protein;Food;Food Plant;Actinidia deliciosa;Kiwi;Act c 2
146737976;Actinidia Act d 2 thaumatin like protein;Food;Food Plant;Actinidia deliciosa;Kiwi;Unassigned
40807635;Actinidia Act d 4 Phytocystatin;Food;Food Plant;Actinidia deliciosa;Kiwi;Unassigned
85701136;Actinidia Act d 5 kiwellin;Food;Food Plant;Actinidia deliciosa;Kiwi;Unassigned
441482346;Actinidia Act d 5 kiwellin;Food;Food Plant;Actinidia deliciosa;Kiwi;Unassigned
441482348;Actinidia Act d 5 kiwellin;Food;Food Plant;Actinidia deliciosa;Kiwi;Unassigned
441482350;Actinidia Act d 5 kiwellin;Food;Food Plant;Actinidia deliciosa;Kiwi;Unassigned
441482352;Actinidia Act d 5 kiwellin;Food;Food Plant;Actinidia deliciosa;Kiwi;Unassigned
441482356;Actinidia eriantha kiwellin;Food;Food Plant;Actinidia eriantha;Kiwi;Unassigned
441482358;Actinidia eriantha kiwellin;Food;Food Plant;Actinidia eriantha;Kiwi;Unassigned
441482360;Actinidia eriantha kiwellin;Food;Food Plant;Actinidia eriantha;Kiwi;Unassigned
556272;Aedes Aed a 1 apyrase;Non Food;Venom or Salivary;Aedes aegypti;Yellow fever mosquito;Aed a 1
193806340;Aedes Aed a 1 apyrase;Non Food;Venom or Salivary;Aedes aegypti;Yellow fever mosquito;Unassigned
118216;Aedes Aed a 2;Non Food;Venom or Salivary;Aedes aegypti;Yellow fever mosquito;Aed a 2
205525919;Aedes Aed a 2;Non Food;Venom or Salivary;Aedes aegypti;Yellow fever mosquito;Aed a 2
2114497;Aedes Aed a 3;Non Food;Venom or Salivary;Aedes aegypti;Yellow fever mosquito;Unassigned
94468546;Aedes Aed a 3;Non Food;Venom or Salivary;Aedes aegypti;Yellow fever mosquito;Unassigned
94468552;Aedes Aed a 3;Non Food;Venom or Salivary;Aedes aegypti;Yellow fever mosquito;Unassigned
320606;Agrostis Agr a 1;Non Food;Aero Plant;Agrostis alba;Bent grass;Unassigned
75139987;Agrostis Agr a 1;Non Food;Aero Plant;Agrostis alba;Bent grass;Unassigned
75139989;Agrostis Agr a 1;Non Food;Aero Plant;Agrostis alba;Bent grass;Unassigned
261407;Alnus Aln g 1;Non Food;Aero Plant;Alnus glutinosa;Alder;Aln g 1
3319651;Alnus Aln g 4;Non Food;Aero Plant;Alnus glutinosa;Alder;Unassigned
1842045;Alternaria Alt a 1;Non Food;Aero Fungi;Alternaria alternata;Fungus;Alt a 1
21913174;Alternaria Alt a 1;Non Food;Aero Fungi;Alternaria alternata;Fungus;Alt a 1
45680856;Alternaria Alt a 1;Non Food;Aero Fungi;Alternaria alternata;Fungus;Unassigned
390980892;Alternaria Alt a 1;Non Food;Aero Fungi;Alternaria alternata;Fungus;Unassigned
76666767;Alternaria Alt a 10 ADH;Non Food;Aero Fungi;Alternaria alternata;Fungus;Unassigned
1350779;Alternaria Alt a 12 Ribosomal BP P1;Non Food;Aero Fungi;Alternaria alternata;Fungus;Alt a 12
74611808;Alternaria Alt a 13;Non Food;Aero Fungi;Alternaria alternata;Fungus;Unassigned
14423730;Alternaria Alt a 3 HSP;Non Food;Aero Fungi;Alternaria alternata;Fungus;Alt a 3
85701160;Alternaria Alt a 4 thioredoxin;Non Food;Aero Fungi;Alternaria alternata;Fungus;Alt a 4
1850540;Alternaria Alt a 5 ribosomal P2;Non Food;Aero Fungi;Alternaria alternata;Fungus;Alt a 5
1173071;Alternaria Alt a 5 ribosomal P2;Non Food;Aero Fungi;Alternaria alternata;Fungus;Unassigned
14423684;Alternaria Alt a 6 enolase;Non Food;Aero Fungi;Alternaria alternata;Fungus;Alt a 6
1168402;Alternaria Alt a 7 flavodoxin;Non Food;Aero Fungi;Alternaria alternata;Fungus;Unassigned
292630881;Alternaria MnSOD;Non Food;Aero Plant;Alternaria alternata;Fungus;Unassigned
21748153;Alternaria Nuc Transport 2;Non Food;Aero Fungi;Alternaria alternata;Fungus;Unassigned
112824341;Alternaria TCTP IgE binding;Non Food;Aero Fungi;Alternaria alternata;Fungus;Unassigned
227937304;Amaranthus Ama r 2 Proflin;Non Food;Aero Plant;Amaranthus retroflexus;Common Amaranth;Unassigned
113475;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Amb a 1.1
113476;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Amb a 1.2
113477;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Amb a 1.3
113478;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Amb a 1.4
166443;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Amb a 1.3
302127810;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
302127812;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
302127814;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
302127816;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
302127818;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
302127820;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
302127822;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
302127824;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
302127826;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
302127828;Ambrosia Amb a 1;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
113479;Ambrosia Amb a 2;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Amb a 2
285005079;Ambrosia Amb a 4;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
291197394;Ambrosia Amb a 4;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
291482306;Ambrosia Amb a 4;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
291482308;Ambrosia Amb a 4;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
291482310;Ambrosia Amb a 4;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
291482314;Ambrosia Amb a 4;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
291482316;Ambrosia Amb a 4;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
291482318;Ambrosia Amb a 4;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
14285595;Ambrosia Amb a 6;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Amb a 6
34851182;Ambrosia Amb a 8 profilin;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
34851180;Ambrosia Amb a 8 profilin;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
34851178;Ambrosia Amb a 8 profilin;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
62249502;Ambrosia Amb a 8 profilin;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
62249512;Ambrosia Amb a 8 profilin;Non Food;Aero Plant;Ambrosia artemisiifolia;Short ragweed;Unassigned
416636;Ambrosia Amb a 3;Non Food;Aero Plant;Ambrosia artemisiifolia (elatior);Short ragweed;Amb a 3
114090;Ambrosia Amb a 5 Ra5;Non Food;Aero Plant;Ambrosia artemisiifolia (elatior);Short ragweed;Amb a 5
515953;Ambrosia Amb a 5 Ra5;Non Food;Aero Plant;Ambrosia psilostachya;Western ragweed;Unassigned
515954;Ambrosia Amb a 5 Ra5;Non Food;Aero Plant;Ambrosia psilostachya;Western ragweed;Unassigned
515955;Ambrosia Amb a 5 Ra5;Non Food;Aero Plant;Ambrosia psilostachya;Western ragweed;Unassigned
515956;Ambrosia Amb a 5 Ra5;Non Food;Aero Plant;Ambrosia psilostachya;Western ragweed;Unassigned
515957;Ambrosia Amb a 5 Ra5;Non Food;Aero Plant;Ambrosia psilostachya;Western ragweed;Unassigned
114091;Ambrosia Amb t 5 Ra5G;Non Food;Aero Plant;Ambrosia trifida;Giant ragweed;Amb t 5
21666498;Anacardium Ana o 1;Food;Food Plant;Anacardium occidentale;Cashew;Ana o 1
21914823;Anacardium Ana o 1;Food;Food Plant;Anacardium occidentale;Cashew;Ana o 1
25991543;Anacardium Ana o 2;Food;Food Plant;Anacardium occidentale;Cashew;Ana o 2
24473800;Anacardium Ana o 3;Food;Food Plant;Anacardium occidentale;Cashew;Ana o 3
75277440;Ananas Ana c 2 Bromelain precursor;Non Food;Aero Plant;Ananas comosus;Pineapple;Unassigned
75306610;Ananas profilin;Food;Food Plant;Ananas comosus;Pineapple;Unassigned
442577845;Anisakis Ani s 12;Food;Food Animal;Anisakis pegreffii;Fish;Unassigned
442577847;Anisakis Ani s 12;Food;Food Animal;Anisakis pegreffii;Fish;Unassigned
442577849;Anisakis Ani s 12;Food;Food Animal;Anisakis pegreffii;Fish;Unassigned
442577833;Anisakis Ani s 2 paramyosin;Food;Food Animal;Anisakis pegreffii;Fish;Unassigned
47605452;Anisakis Ani s 1 protease inhibitor;Food;Food Animal;Anisakis simplex;Parasitic fish worm;Ani s 1
