Nutr_No;Description;Type;Tagname;Units;Num_Dec
203;Protein;Protein;PROCNT;g;2
204;Total lipid (fat);Fatty;FAT;g;2
205;Carbohydrate, by difference;Carbohydrates;CHOCDF;g;2
207;Ash;Inorganic;ASH;g;2
208;Energy;Energy;ENERC_KCAL;kcal;0
209;Starch;Carbohydrates;STARCH;g;2
210;Sucrose;Carbohydrates;SUCS;g;2
211;Glucose (dextrose);Carbohydrates;GLUS;g;2
212;Fructose;Carbohydrates;FRUS;g;2
213;Lactose;Carbohydrates;LACS;g;2
214;Maltose;Carbohydrates;MALS;g;2
221;Alcohol, ethyl;Alcohol;ALC;g;1
255;Water;Water;WATER;g;2
257;Adjusted Protein;Protein;;g;2
262;Caffeine;Alkaloid;CAFFN;mg;0
263;Theobromine;Alkaloid;THEBRN;mg;0
268;Energy;Energy;ENERC_KJ;kJ;0
269;Sugars, total;Carbohydrates;SUGAR;g;2
287;Galactose;Carbohydrates;GALS;g;2
291;Fiber, total dietary;Fiber;FIBTG;g;1
301;Calcium, Ca;Mineral;CA;mg;0
303;Iron, Fe;Mineral;FE;mg;2
304;Magnesium, Mg;Mineral;MG;mg;0
305;Phosphorus, P;Mineral;P;mg;0
306;Potassium, K;Mineral;K;mg;0
307;Sodium, Na;Mineral;NA;mg;0
309;Zinc, Zn;Mineral;ZN;mg;2
312;Copper, Cu;Mineral;CU;mg;3
313;Fluoride, F;Mineral;FLD;µg;1
315;Manganese, Mn;Mineral;MN;mg;3
317;Selenium, Se;Mineral;SE;µg;1
318;Vitamin A, IU;Vitamin;VITA_IU;IU;0
319;Retinol;Vitamin;RETOL;µg;0
320;Vitamin A, RAE;Vitamin;VITA_RAE;µg;0
321;Carotene, beta;Vitamin;CARTB;µg;0
322;Carotene, alpha;Vitamin;CARTA;µg;0
323;Vitamin E (alpha-tocopherol);Vitamin;TOCPHA;mg;2
324;Vitamin D;Vitamin;VITD;IU;0
325;Vitamin D2 (ergocalciferol);Vitamin;ERGCAL;µg;1
326;Vitamin D3 (cholecalciferol);Vitamin;CHOCAL;µg;1
328;Vitamin D (D2 + D3);Vitamin;VITD;µg;1
334;Cryptoxanthin, beta;Vitamin;CRYPX;µg;0
337;Lycopene;Vitamin;LYCPN;µg;0
338;Lutein + zeaxanthin;Vitamin;LUT+ZEA;µg;0
341;Tocopherol, beta;Vitamin;TOCPHB;mg;2
342;Tocopherol, gamma;Vitamin;TOCPHG;mg;2
343;Tocopherol, delta;Vitamin;TOCPHD;mg;2
344;Tocotrienol, alpha;Vitamin;TOCTRA;mg;2
345;Tocotrienol, beta;Vitamin;TOCTRB;mg;2
346;Tocotrienol, gamma;Vitamin;TOCTRG;mg;2
347;Tocotrienol, delta;Vitamin;TOCTRD;mg;2
401;Vitamin C, total ascorbic acid;Vitamin;VITC;mg;1
404;Thiamin;Vitamin;THIA;mg;3
405;Riboflavin;Vitamin;RIBF;mg;3
406;Niacin;Vitamin;NIA;mg;3
410;Pantothenic acid;Vitamin;PANTAC;mg;3
415;Vitamin B-6;Vitamin;VITB6A;mg;3
417;Folate, total;Vitamin;FOL;µg;0
418;Vitamin B-12;Vitamin;VITB12;µg;2
421;Choline, total;Vitamin;CHOLN;mg;1
428;Menaquinone-4;Vitamin;MK4;µg;1
429;Dihydrophylloquinone;Vitamin;VITK1D;µg;1
430;Vitamin K (phylloquinone);Vitamin;VITK1;µg;1
431;Folic acid;Vitamin;FOLAC;µg;0
432;Folate, food;Vitamin;FOLFD;µg;0
435;Folate, DFE;Vitamin;FOLDFE;µg;0
454;Betaine;Vitamin;BETN;mg;1
501;Tryptophan;Aminoacid;TRP_G;g;3
502;Threonine;Aminoacid;THR_G;g;3
503;Isoleucine;Aminoacid;ILE_G;g;3
504;Leucine;Aminoacid;LEU_G;g;3
505;Lysine;Aminoacid;LYS_G;g;3
506;Methionine;Aminoacid;MET_G;g;3
507;Cystine;Aminoacid;CYS_G;g;3
508;Phenylalanine;Aminoacid;PHE_G;g;3
509;Tyrosine;Aminoacid;TYR_G;g;3
510;Valine;Aminoacid;VAL_G;g;3
511;Arginine;Aminoacid;ARG_G;g;3
512;Histidine;Aminoacid;HISTN_G;g;3
513;Alanine;Aminoacid;ALA_G;g;3
514;Aspartic acid;Aminoacid;ASP_G;g;3
515;Glutamic acid;Aminoacid;GLU_G;g;3
516;Glycine;Aminoacid;GLY_G;g;3
517;Proline;Aminoacid;PRO_G;g;3
518;Serine;Aminoacid;SER_G;g;3
521;Hydroxyproline;Aminoacid;HYP;g;3
573;Vitamin E, added;Vitamin;;mg;2
578;Vitamin B-12, added;Vitamin;;µg;2
601;Cholesterol;Sterol;CHOLE;mg;0
605;Fatty acids, total trans;Fatty;FATRN;g;3
606;Fatty acids, total saturated;Fatty;FASAT;g;3
607;Fatty acid 4:0;Fatty;F4D0;g;3
608;Fatty acid 4:0;Fatty;F6D0;g;3
609;Fatty acid 8:0;Fatty;F8D0;g;3
610;Fatty acid 10:0;Fatty;F10D0;g;3
611;Fatty acid 12:0;Fatty;F12D0;g;3
612;Fatty acid 14:0;Fatty;F14D0;g;3
613;Fatty acid 16:0;Fatty;F16D0;g;3
614;Fatty acid 18:0;Fatty;F18D0;g;3
615;Fatty acid 20:0;Fatty;F20D0;g;3
617;Fatty acid 18:1 undifferentiated;Fatty;F18D1;g;3
618;Fatty acid 18:2 undifferentiated;Fatty;F18D2;g;3
619;Fatty acid 18:3 undifferentiated;Fatty;F18D3;g;3
620;Fatty acid 20:4 undifferentiated;Fatty;F20D4;g;3
621;22:6 n-3 (DHA);Fatty;F22D6;g;3
624;Fatty acid 22:0;Fatty;F22D0;g;3
625;Fatty acid 14:1 undifferentiated;Fatty;F14D1;g;3
626;Fatty acid 16:1 undifferentiated;Fatty;F16D1;g;3
627;Fatty acid 18:4;Fatty;F18D4;g;3
628;Fatty acid 20:1;Fatty;F20D1;g;3
629;Fatty 20:5 n-3 (EPA);Fatty;F20D5;g;3
630;Fatty 22:1 undifferentiated;Fatty;F22D1;g;3
631;Fatty 22:5 n-3 (DPA);Fatty;F22D5;g;3
636;Phytosterols;Sterol;PHYSTR;mg;0
638;Stigmasterol;Sterol;STID7;mg;0
639;Campesterol;Sterol;CAMD5;mg;0
641;Beta-sitosterol;Sterol;SITSTR;mg;0
645;Fatty acids, total monounsaturated;Fatty;FAMS;g;3
646;Fatty acids, total polyunsaturated;Fatty;FAPU;g;3
652;Fatty 15:0;Fatty;F15D0;g;3
653;Fatty 17:0;Fatty;F17D0;g;3
654;Fatty 24:0;Fatty;F24D0;g;3
662;Fatty 16:1 t;Fatty;F16D1T;g;3
663;Fatty 18:1 t;Fatty;F18D1T;g;3
664;Fatty 22:1 t;Fatty;F22D1T;g;3
665;Fatty 18:2 t;Fatty;F18D2T;g;3
666;Fatty 18:2 i;Fatty;;g;3
669;Fatty 18:2 t,t;Fatty;F18D2TT;g;3
670;Fatty 18:2 CLAs;Fatty;F18D2CLA;g;3
671;Fatty 24:1 c;Fatty;F24D1C;g;3
672;Fatty 20:2 n-6 c,c;Fatty;F20D2CN6;g;3
673;Fatty 16:1 c;Fatty;F16D1C;g;3
674;Fatty 18:1 c;Fatty;F18D1C;g;3
675;Fatty 18:2 n-6 c,c;Fatty;F18D2CN6;g;3
676;Fatty 22:1 c;Fatty;F22D1C;g;3
685;Fatty 18:3 n-6 c,c,c;Fatty;F18D3CN6;g;3
687;Fatty 15:0;Fatty;F17D1;g;3
689;Fatty 20:3 undifferentiated;Fatty;F20D3;g;3
693;Fatty acids, total trans-monoenoic;Fatty;FATRNM;g;3
695;Fatty acids, total trans-polyenoic;Fatty;FATRNP;g;3
696;Fatty 13:0;Fatty;F13D0;g;3
697;Fatty 15:1;Fatty;F15D1;g;3
851;Fatty 18:3 n-3 c,c,c (ALA);Fatty;F18D3CN3;g;3
852;Fatty 20:3 n-3;Fatty;F20D3N3;g;3
853;Fatty 20:3 n-6;Fatty;F20D3N6;g;3
855;Fatty 20:4 n-6;Fatty;F20D4N6;g;3
856;Fatty 18:3i;Fatty;;g;3
857;Fatty 21:5;Fatty;F21D5;g;3
858;Fatty 22:4;Fatty;F22D4;g;3
859;Fatty 18:1-11 t (18:1t n-7);Fatty;F18D1TN7;g;3
